"Overall
Query no.",Query no.,Name of Company,Description of the query,Response from NPCIL
585,28,M/s Reliance Industries Limited,"How does NPCIL envisage that insurance taken for reactors commissioned under this
proposal get covered by insurance companies at the same cost that NPCIL currently pays today since only O&M will be done by NPCIL?",RFP terms & conditions shall prevail.
586,29,M/s Reliance Industries Limited,"How will the township and amenities construction for plant personnel be supervised and monitored?
What are the expectations for training NPCIL personnel and local workforce in managing and operating BSRs?",Construction of township along with all the amenities and its supervision is in scope of USER.
587,30,M/s Reliance Industries Limited,"Can you provide specific details about the types of events considered as “Force
Majeure”, including Non-Political, Indirect Political, and Political Events, and how will the costs be handled during such events?
In line with the principles of natural justice, the responsibility of dispute resolution cannot be vested with an agency who is a party to the dispute.
Hence, we suggest dispute resolution under Arbitration & Dispute resolution act 1996 & its amendments.
What is the detailed mechanism for resolving disputes, particularly among Force Majeure events or regulatory compliance issues?
Are there any penalties for delays caused by regulatory bodies?
What indemnities will NPCIL provide to USERS for delays caused by government or regulatory authorities?           ",RFP terms & conditions shall prevail.
588,31,M/s Reliance Industries Limited,"1.    Allow the project to be setup in Seismic Zone V if NPCIL can provide design specifications for siting PHWR in such land area.
2.    Reduce exclusion zone radius from 1Km to 0.5Km
3.    What is the current status on the proposed reduction of the exclusion zone from 1 km? How will this affect the project design and land requirements, and when is the final decision expected?","As per present AERB regulation, setting up of NPPs is not allowed in Seismic Zone-V.
A proposal for reduction of EZ to 0.5km is under review by AERB."
589,32,M/s Reliance Industries Limited,"What are the specific technology details for the 220 MWe PHWR BSR, including its
performance parameters.
It would be helpful it the operational capability of BSR is stated in terms of
1.    Overload capability
2.    Min Turndown
3.    Safe Ramp up and ramp down rates
4.    Time for safe shutdown
These parameters are important for any corporate planning to utilise them for captive use.",Relevant Details will be shared after signing NDA
590,33,M/s Reliance Industries Limited,"What specific guidelines from the Atomic Energy Regulatory Board (AERB) or other global standards must the proposed site meet beyond the ones mentioned in the RFP?
Can you provide detailed seismic and fault line data of the proposed site?
Are there any provisions to ensure compliance with international nuclear safety standards (e.g., IAEA)?
What are the detailed requirements for water storage at the plant site to ensure long- term cooling of the core and spent fuel, including specific volumes and backup systems needed?
What are the specifics for the Natural Draught Cooling Towers (NDCT) and Induced Draught Cooling Towers (IDCT)?","All AERB codes and guides for PHWRs will be applicable.
Land is to be identified and offered by USER. NPCIL will assist in Site Selection requirement.
Water requirement is outlined in Annexure-1 Part-A of RFP. Design of NDCT & IDCT will be based on site specific parameters."
591,34,M/s Reliance Industries Limited,NPCIL has mentioned the water requirements for coastal sites with once-through cooling water system.  NPCIL to clarify whether cooling tower-based system can be considered as option for coastal plant also.,"Once through cooling system is preferred for coastal site.
For cooling tower at coastal sites, Desalination plant will be required for fresh water makeup to cooling towers. Effect of corrosive environment at coastal site shall be assessed for tower based systems."
592,35,M/s Reliance Industries Limited,"Under the proposed structure, the entire project is being funded by USER, while all the licenses, permits & approvals are not in the name of the USER. This is a very unique situation & hence we suggest having USER as the co-licensee.
Consequences in case of change in law (including but limited to radiation levels, technology, emissions, leakages etc.) especially in terms of compliance norms for nuclear plant need to be spelt out",RFP terms & conditions shall prevail.
593,36,M/s Reliance Industries Limited,"Please provide specific AERB codes and guidelines that are applicable at each stage. Also provide regulatory hold points (RHP), and submission requirements at each stage
to needed for clearances?         ","AERB siting code SC/S, Design code SC/D and all related AERB codes/guides will be applicable.
Submissions at each stage are mentioned in Annexure-2."
594,37,M/s Reliance Industries Limited,"Please provide a detailed project execution plan, specifically for the construction of the Reactor Building (RB) and how different construction teams and activities will be coordinated and how the milestones will be measured?
What are the minimum and maximum operational load requirements and performance benchmarks for the 220 MWe reactors?
Will NPCIL provide standard operating procedures or design documents for critical components or are USERS expected to generate their own?","Detailed project execution plan will be worked out jointly by USER & NPCIL at various stages of project.
Plant Performance data of typical 220 MWe PHWR may be provided after signing NDA.
All standard operating procedures or design documents are in the scope of NPCIL."
595,38,M/s Reliance Industries Limited,"We suggest providing license for the entire project life at one go (instead of 5 years for initial operation and balance for regular operation) with intermittent milestones which would commence subject to certain compliances.
This would provide comfort to the USER & the Lenders with respect to the continuity of business.",This aspect is based on the regulatory requirements stipulated by AERB
596,39,M/s Reliance Industries Limited,"Can we capitalize the expenses relating to Capital Unit Outage in the books, treating them as capital expenditure? Would like to know the practice being followed by NPCIL?
Are there provisions for bidders USERS to integrate future technological advancements during the operational lifecycle of the reactors?
Will there be funding support for periodic upgrades and retrofitting to enhance efficiency or meet new regulatory standards?",RFP terms & conditions shall prevail.
597,40,M/s Reliance Industries Limited,"Is the USER required to incur any renovation or modernization or LE expenditure to maintain or extend the rated capacity of 2 X 220 MWe for the 40-year period?
If yes, please indicate the expenditure being incurred for such capacities.",RFP terms & conditions shall prevail.
598,41,M/s Reliance Industries Limited,"Can we have a certainty from NPCIL that no expenditure other than what has been
indicated & quantified will be incurred to operate the asset for 40 years.",RFP terms & conditions shall prevail.
599,42,M/s Reliance Industries Limited,It is mentioned that User can propose projects in multiple twins of BSR subject to availability of land.  NPCIL to clarify whether User can propose multiple project sites in different states without any restriction on number of sites or BSR units.,USER can propose multiple project sites in different states without any restriction on number of sites or BSR units.
600,43,M/s Reliance Industries Limited,"How will intellectual property rights for innovations or optimizations developed during the project be handled?
What are the confidentiality obligations for USERS concerning sensitive project data?",RFP terms & conditions shall prevail.
601,44,M/s Reliance Industries Limited,"Are there specific sustainability targets (e.g., water usage, emissions reductions) tied to the project?
How are compliance and monitoring of environmental impact integrated into project operations?",Not relevant to RFP
602,45,M/s Reliance Industries Limited,"Given that the government has announced SMRs as way forward in the Budget 2025, we suggest that NPCIL consider allowing Gen III and Gen IV foreign SMR technologies to
also be commissioned under the same model",This proposal is only for 220 Mwe PHWR based BSR
603,46,M/s Reliance Industries Limited,"NPCIL to furnish the current and prospective uranium sources (countries) and indicate
whether User can explore acquiring uranium mines in other countries.",Not relevant to RFP
604,47,M/s Reliance Industries Limited,"NPCIL to clarify whether Government will provide necessary support for land acquisition, ease of statutory approvals, sourcing of funds at concessional rate of
interest (similar to renewables).",All these are in scope of USER
605,48,M/s Reliance Industries Limited,"NPCIL to clarify their role in supporting users for procurement of critical components/systems to obtain competitive prices and delivery time from potential suppliers.  NPCIL is also requested to support in developing new suppliers to meet the
desired cost and timelines.","Procurement is in scope of USER with QA by NPCIL.
NPCIL support will be available for development of new suppliers."
606,49,M/s Reliance Industries Limited,"NPCIL to clarify the final selection / ranking mechanism in case the number of qualified
users is more and also higher number of sites offered.",Not relevant RFP
607,50,M/s Reliance Industries Limited,"USER seeks amendment of Qualification Requirement (QR) related to net worth.  The amendment to be - ""In case of subsidiary company participating in the RFP as captive power consumer, the net worth criteria can be met with combined net worth of subsidiary company and its parent company/companies.",Refer Annexure-3 and Corrigendum-IV of RFP
608,51,M/s Reliance Industries Limited,"USER requests NPCIL to share the BOQ for key items, equipment and civil, structural
steel and other quantities to enable estimation",Refer Corrigendum-IV of RFP regarding NDA and sharing of BOQ.
609,52,M/s Reliance Industries Limited,"USER requests the specification of both NPP and BOP to be shared along with supplier
details and equipment names, lead times and approx. cost","Refer Corrigendum-IV of RFP regarding NDA and sharing of BOQ. Cost
to be discovered by USER."
610,1,M/s REMC Limited on behalf of Indian Railways,Reference to item 1 at page 6 of 84 status of ownership of NPP in the books of account after transfer to NPCIL may be clarified.,"Assets of NPP, for purpose of operation, will get transferred to NPCIL. However, beneficial ownership i.e. right over electricity generated and available after auxiliary consumption, will remain with the USER. Related issues may checked with financail professionals."
611,2,"M/s REMC Limited on behalf of Indian
Railways","Reference item 5 page 7 of 84, applicable direct or indirect taxes as on date may be
clarified","Impact of Direct / Indirect Taxes applicable to RFP may be ascertained
in consultation with Tax consultant."
612,3,"M/s REMC Limited on behalf of Indian
Railways","List of Agencies may be furnished with details of name Address and Contact Number
for conducting site evaluation study and site Evaluation report",Information will be furnished on specific request from USER
613,4,M/s REMC Limited on behalf of Indian Railways,Indian Railways has potential sites in Rajasthan and Gujarat under the Jurisdiction of western Railway and North Western Railway .Korapur in Gujarat and Rawatbhata in Rajasthan are existing Nuclear power plants of NPCIL. What will be the clearances required from State?,"Regulatory Clearances  as per RFP Annexure-1 Part-B.
Statutory clearances from applicable state/central government agencies and any other applicable statutory bodies for setting up NPPs will be required to be otained."
614,5,"M/s REMC Limited on behalf of Indian
Railways","Time lines for finalization of the sites and subsequent clearances from AERB may be
furnished. Times lines for MoU Agreement no 1,23,4?","The time will depend on site investigation studies by USER and
regulatory approvals by AERB."
615,6,M/s REMC Limited on behalf of Indian Railways,Site requirement will be fixed based-on exclusion radius of 0.5 KM or 1 KM as 1 KM is said to be under consideration. 331 hectare for 1 KM & 87 Hectare for 0.5 KM,"Current requirement of EZ as per AERB siting code (AERB/NF/SC/S Rev1) is 1 km.
A proposal for reduction of EZ to 0.5 km have been submitted and is
under review in AERB."
616,7,M/s REMC Limited on behalf of Indian Railways,"IR intends for single unit of 220 MWe at Multiple sites near to the TSS for better evacuation of power  at nearby load centre. cost repercussion of single unit   may be
furnished along with feasibility/ possibility.",Design available for 220 Mwe BSR is for twin unit configuration only.
617,8,M/s REMC Limited on behalf of Indian Railways,REMCL will submit Acceptance letter of RBI mandate for Rs 10 Cr towards the EMD,Earnest Money Deposit (EMD) in the form of Online Payment/Bank Guarantee /Insurance Surety Bond will be accepted. Refer Corrigendum-V to RFP for Format of Bank Guarantee in lieu of EMD.
618,9,"M/s REMC Limited on behalf of Indian
Railways",Methodology Tariff Determination for surplus power ?,RFP terms & conditions shall Prevail.
619,10,"M/s REMC Limited on behalf of Indian
Railways","Panel of approved list of vendors /contractors/land survey agency & other empanelled
agencies/vendors for site evaluation  may be shared.",Relevant documents will shared after signing NDA
620,11,"M/s REMC Limited on behalf of Indian
Railways",Any other mode of providing land to NPCIL (other than sub-leasing) may be clarified.,RFP terms & conditions shall prevail.
621,12,M/s REMC Limited on behalf of Indian Railways,What will be the clearances required from State?,"Regulatory Clearances  as per RFP Annexure-1 Part-B.
Statutory clearances from applicable state/central government agencies and any other applicable statutory bodies for setting up NPPs will be required to be otained."
622,1,M/s Saffrongrid Limited,"What is the estimated annual OPEX per MW(accurate), and what are the major contributors? What is the projected cost per unit of power generation, considering fuel, maintenance, and staffing?How does the fuel cost structure impact overall OPEX, and are there hedging mechanisms?What provisions are in place for cost optimization in long-term O&M (e.g., automation, AI-based monitoring)?",Relevant information will be shared on signing of NDA.
623,2,M/s Saffrongrid Limited,"Can NPCIL provide detailed benchmarks of OPEX costs for similar operational nuclear
plants? And aslo a financial model of a respective 220 MW plant ?",Relevant information will be shared on signing of NDA.
624,3,M/s Saffrongrid Limited,What is the projected heavy water inventory requirement per reactor per year? Can NPCIL provide clarity on heavy water leasing terms and annual lease charges?,Already addressed in RFP
625,4,M/s Saffrongrid Limited,Are there any government subsidies or cost optimizations available for heavy water procurement? Can we manufacture our own Heavy water? Will NPCIL allow third-party procurement of heavy water or is it strictly through DAE?,User has to take up with respective ministries for benefits / exemptions etc.
626,5,M/s Saffrongrid Limited,"What specific expertise and services are covered under the 60 paise/kWh expertise fee?Has NPCIL conducted any cost-benefit analysis to justify this fee structure? Can we review such data?Can we opt for a lump sum payment instead of per-unit charges to
reduce long-term financial burden?",The quantum of expertise charges under the RFP is the decision of Govt  of India.
627,6,M/s Saffrongrid Limited,"What are the estimated pre-operative costs associated with the project, including land acquisition, regulatory approvals, site evaluation, environmental clearances, and other preliminary expenses, before commencing any civil works? Can NPCIL provide a detailed cost breakdown for these activities?",Relevant Details will be shared after signing NDA
628,7,M/s Saffrongrid Limited,"What is the estimated total CAPEX per MW for a 220 MWe BSR unit, and what factors influence it?Can NPCIL provide a detailed breakdown of CAPEX components (civil works, equipment, licensing, etc.)?Can we get a detailed risk matrix for CAPEX overruns
and how NPCIL mitigates those risks?",Relevant Details will be shared after signing NDA
629,8,M/s Saffrongrid Limited,"Experientially what are the broad challenges we come across in pre operative phase? Like land acquisition, location, water availability, buy-in from
farmers/villages/communities?",Not relevant to RFP
630,9,M/s Saffrongrid Limited,"As NPCIL/DAE is taking back the spent fuel, will we be compensated for the same?",Not relevant to RFP
631,10,M/s Saffrongrid Limited,"Will NPCIL support hybrid energy models that integrate nuclear with renewable energy
sources?",This RFP is only for 220 MWe PHWRs.
632,11,M/s Saffrongrid Limited,Can the land requirement be reduced by using any advanced technology to control the radiation? Is it 1.5KM or 0.5 KM?,"Current requirement of EZ as per AERB siting code (AERB/NF/SC/S Rev1) is 1 km.
A proposal for reduction of EZ to 0.5 km have been submitted and is
under review in AERB."
633,1,M/s SBI Capital Markets Limited,"As per the RFP the project assets and land will not be in the books of the USER, in such situation the security for debt funding will only be right of use of power and there will
not be any charge on land and project assets.","Detailed legal opinion based on which the query is raised may be submitted with relevant court ruling , citations if any."
634,2,M/s SBI Capital Markets Limited,"RFP also mentions that the substitution agreement will be signed post any unforeseen event  occurs,  in such  situation  as  per  RBI  guidelines  the  security for  debt  will  not  be
available in absence of ab-initio substitution right.",May take up with RBI.
635,3,M/s SBI Capital Markets Limited,"What will be the exact cost associated with construction of the project, decommissioning and contingent capex. It is to be specified to determine the viability of the proposal. The benchmark Nuclear Power Projects given are very old.",Relevant information will be shared on signing of NDA. Current cost for BSR to be estimated by USER.
636,4,M/s SBI Capital Markets Limited,"There should be guaranteed production of power in the agreement so as to ascertain the minimum cash flow from the project.  Is the PLF mentioned is the guaranteed PLF? Generally, in Nuclear Power PLF is way higher than 68.5%.",The plant is expected to operate at Normative Plant Load Factor (“PLF”) of 68.5%. The normative PLF is under consideration for revision to 72.5%. However the actual availability is expected to be higher as per historical trend of similar operating NPPs. Actual Plant availability depends upon mutiple factors.
637,5,M/s SBI Capital Markets Limited,Who will bear the uranium fuel supply risk? how will the captive user be compensated in case of shortfall in power generation due to non-availability of fuel?,"Uninterrupted supply of Fuel will be ensured by DAE, GoI."
638,6,M/s SBI Capital Markets Limited,"In case of substantial increase of cost of uranium fuel, cost of power would become
unviable for the user. How is it ensured?",Not Relevant to RFP
639,7,M/s SBI Capital Markets Limited,Will NPCIL bear the cost overrun if its due to reasons attributed to it.,RFP terms & conditions shall prevail.
640,1,M/s Tata Power Compnay Limited,"As per RFP document, A proposal for suitable amendment of the Electricity Rules, 2005, notified under the Electricity Act, 2003 is under consideration of the Ministry of Power. Please share the copy of this proposal.","Following notification by MoP, the amendment will be made available."
641,2,M/s Tata Power Compnay Limited,"NPCIL to clarify the following points:
a) Whether User is free to set-up BSR exclusively for selling power to distribution companies and other users?
b) Can energy ""not scheduled"" be sold in Power Exchanges?
NPCIL to share latest DAE tariff norms.",Already clarified in RFP.
642,3,M/s Tata Power Compnay Limited,"Please clarify if the legal ownership of the nuclear asset will be transferred to NPCIL or it will be transferred for operation and asset will remain in books of User?
In case of ownership transfer how will the following challenges be addressed:
a) Bank Financing - Since there will be no asset on TPCL book post construction, how will the loan be securitised?
b) Tax Implications - Upon transfer of asset upon minimal value which party will bear the transaction cost & related tax implications?","Legal ownership is requirement of Atomic Energy Act. In case financing from own resources is not contemplated, option of financing to be discussed with the financial institutions ."
643,4,M/s Tata Power Compnay Limited,"Copy of Tripartite agreement shall be shared (Agreement-4). Expected fuel and Heavy
water cost in 2030-31 shall be indicated. Heavy water & Fuel cost escalation, leasing terms etc. shall be agreed in this agreement. Life time availability of Fuel and Heavy water shall be ensured by DAE.
NPCIL to confirm that fuel & Heavy Water cost, its cost escalation, leasing terms etc. for BSRs shall be same as of NPCIL's existing 220 MW PWHRs.","Uniterrupted supply of Fuel and Heavy Water will be ensured by DAE, GoI. The charges of fuel and heavy water will be decided at time of Agreement-4."
644,5,M/s Tata Power Compnay Limited,"NPCIL shall revisit expertise charges indicated as tariff calculated with this becomes unviable. User suggest NPCIL to consider expertise charge of 5 paisa per unit if PLF is
more than 90%.",The quantum of expertise charges under the RFP is the decision of Govt  of India.
645,6,M/s Tata Power Compnay Limited,"NPCIL / DAE to indicate the following in 2030-2031:
a) Heavy water cost and its cost escalation
b) Fuel Cost and its cost escalation
c) Levies in Nuclear Power
d) Insurance Charges
e) Any other taxes",The charges of fuel and heavy water will be decided at time of Agreement-4.
646,7,M/s Tata Power Compnay Limited,"Please clarify if lease charges will be applicable on Heavy water heavy water is property of DAE or Heavy water cost will be recovered in Equated Annual Instalments (“EAI”)
over 40 years?","Heavy water is property of DAE and lease charges on the heavy water inventory held by the plant, will be payable at the rate notified by the
DAE"
647,8,M/s Tata Power Compnay Limited,"What  would  be  the  exact  mode  and  manner  of  transfer  of  ownership  of  assets  to NPCIL? Since the mechanism is not clear, we would require clarity on this aspect.","Assets of NPP, for purpose of operation, will get transferred to NPCIL. However, beneficial ownership i.e. right over electricity generated and available after auxiliary consumption, will remain with the USER."
648,9,M/s Tata Power Compnay Limited,"We understand that (i)  the underlying land would be transferred to NPCIL for a lease for a period of 99 years or more; and (ii)  the assets developed for the NPP on top of the land (the “NPP Assets”) would be transferred to NPP for an amount of ₹ 1. Such a transfer  may  attract  certain  tax  liabilities  in  the  form  of  stamp  duty,  GST  as  well  as under the Income Tax Act. Would specific exemptions be provided to the USER against these tax liabilities, and what is the approach pertaining to such exemptions?",All applicable law of land will apply.
649,10,M/s Tata Power Compnay Limited,It is stated that the “beneficial ownership” of the NPP Assets would be retained by the USER. Please give more clarity on the nature of the beneficial ownership that would be retained by the User. Can it be confirmed whether the transfer of NPP Assets to NPCIL would  involve  (a)   complete  transfer  of  the  NPP  Assets  to  NPCIL  with  the  USER retaining  a  contractual  right  to  the  exclusive  use  of  the  electricity  generated;  or  (b) only  hand  over  of  possession  of  the  NPP  Assets  to  NPCIL  with  the  USER  retaining ownership of the NPP Assets?,"Assets of NPP, for purpose of operation, will get transferred to NPCIL. However, beneficial ownership i.e. right over electricity generated and available after auxiliary consumption, will remain with the USER."
650,11,M/s Tata Power Compnay Limited,"On the one hand, the present Clause as well as Clause (ii)(a) of Annexure-3 of the RFP [Page  42]  contemplate  the  entire  power  generated  to  be  used  for  the  USER’s  own requirements.
On the other hand, the present Clause also envisages a situation where the user may wish to sell the electricity produced to other customers and that the tariff thereof will be  determined by the  Department  of Atomic Energy (“DAE”) under Section 22  of the Atomic Energy Act, 1962 (“AE Act”).
In  this  light  it  may  be  clarified  whether  the  USER  is  permitted  to  sell  the  electricity produced   to   other   customers   despite   the   requirement   of   captive   usage   of   the electricity so produced.
If it is permitted then, kindly clarify if the user is permitted to also sell the power as a trader / on power exchanges?
Based on the clarification, the proposed structure of the transaction shall be finalized.",Aptly clarified in RFP.
651,12,M/s Tata Power Compnay Limited,"The  transfer  of  NPP  Assets  without  consideration  to  NPCIL  would  attract  tax  under
Section 56 of the Income Tax Act, 1961 (the “IT Act”) as well as GST. These taxes would be a substantial amount, and as per the wording of this clause, would have to be borne by the USER. Would the Central Government provide any exemption to the applicability of such taxes on such transfer?
What steps are being taken for such exemptions?","Detailed legal opinion based on which the query is raised may be submitted with relevant court ruling , citations if any."
652,13,M/s Tata Power Compnay Limited,"The  banks  and  financial  institutions  funding  the  project  for  the  USER  would   need  to
create a charge on the NPP Assets. However, due to the operation of the AE Act along with the provisions of the present RFP, it would not be possible for banks or financial institution to enforce any  charge on the NPP Assets. This may restrict the ability of the USER to finance  the NPP Project.
Would any exception be provided in order to enable the banks and financial institutions to be able to create a charge on such NPP Assets?",Please give a clear cut scheme contemplated in your query in compliance with the provisions of Atomic Energy Act.
653,14,M/s Tata Power Compnay Limited,"What  would be  the  mechanism  for  banks/financial institutions  to  create a  security in the pre-construction, construction and decommissioning phase (since no electricity will be produced at that point of time)?
During   the   operation   phase,   what   would   be   the   mechanism   for   banks/financial institutions to create a charge on the electricity generated by the Project (considering that this is a captive Project and no separate amounts may be payable for the supply of electricity to the USER in that scenario)?
Banks may require adequate security to be created on the tangible assets of the NPP in order  to  sanction  any  financing  for  the  NPP.  Would  the  government  provide  any assistance/guarantees in order to enable the USER to obtain financing for the NPP?",Please give a clear cut scheme contemplated in your query in compliance with the provisions of Atomic Energy Act.
654,15,M/s Tata Power Compnay Limited,"(a)             The   sub-leasing   to   NPCIL   may   require   specific   consents   from   the  State Government  that  has  allotted  the  land  for  the  NPP.  Would  NPCIL  assist  the  USER  in obtaining these consents? Furthermore, in case of any delay in approvals, will there be an extension to project timelines or relief in financial obligations for the USER?
(b)           The  sub-lease  of  the  land  to  NPCIL  may  attract  certain  levies  in  the  form  of stamp duty, tax liability under the IT Act. Would there be an exemption provided to the USER against such levies?
(c)            What  would  the  USER  be  indemnifying  NPCIL  against  (as  mentioned  in  the third bullet point)?",User to take up with the respective State Govt.
655,16,M/s Tata Power Compnay Limited,"(a)            The  transfer  of  all  the  assets  would  attract  substantial  levies,  include  stamp
duty, GST as well as tax liability under the IT Act. Would any exemptions against these levies be provided to the USER?
(b)           Are  we  correct  in  our  understanding  that  after  such  transfer,  these  assets would no longer be on the books of the USER and would be transferred to the books of NPCIL?",All applicable law of land will apply.
656,17,M/s Tata Power Compnay Limited,"The RFP envisages transfer of the entirety of the assets as per Clause (vii)(b)(iv) [Page 10] as well as Clause (i) [Page 6].
Thus,  there  is  a  lack  of  clarity  with  respect  to  what  the  term  “irrespective  of  any contrary covenant(s) in the MOU & Agreements” implies. The same may be clarified.",This simply means that assets needs to be vested with NPCIL to be complaint with Atomic Energy Act.
657,18,M/s Tata Power Compnay Limited,"The said clause is in contravention of the provisions of the AE Act which clearly provide that the Central Government or authority or government company shall (i)  enter into agreements  with  the  Boards  or  corporations  concerned  in  respect  of  supply  of  the electricity so  produced;  and  (ii)  enter  into arrangements  with the  relevant  Electricity Board/corporation for transmission of electricity to any other State.
In light of the above, would the NPCIL be making the necessary arrangements for the offtake of electricity?
Further,  will  there  be  transmission  charges  waivers  for  the  electricity  produced  from the NPP?",Clauses of Atomic Energy Act referred in query are read out of context to the concept of BSR model.
658,19,M/s Tata Power Compnay Limited,"(a)      If neither party can claim any relief in light of a force majeure event, then what would the dispute be over?
(b)      The  USER has to  be provided some  form of compensation/relief, at least  in the case  of  change  in  law.  Furthermore, an  extension  to  the  term of  the  project  is to  be provided in case of any delay due to reasons beyond the control of any of the parties.
(c)      The burden of proof of the existence of a force majeure event should be on the party claiming the existence of such an event.",Force majeure is a non negotiable clause.
659,20,M/s Tata Power Compnay Limited,"We would request if the confidentiality obligations under the Non disclosure
Agreement are mutual","Standard clauses iro confidentiality prevailing in commercial
transactions will prevail."
660,21,M/s Tata Power Compnay Limited,"Since User is awarding various packages and will be managing various sub contract, the Control shall be with user to avoid delays and effective contract handling. NPCIL role during project construction shall be limited to supervision to ensure that work is being done as per drawing and specification. Please confirm and amend the RFP document
accordingly.",Award of various constrcution/procurement packages and their control is in scope of USER with supervision and QA coverage by NPCIL.
661,22,M/s Tata Power Compnay Limited,"Copy of Draft non-committal MoU between NPCIL & User to be shared. Also, expected expenditure to be incurred by NPCIL including manpower expenditure to be indicated.",Relevant Details will be shared after signing NDA
662,23,M/s Tata Power Compnay Limited,"Since land is being sub-leased to NPCIL for 99 years, what would be the terms of ownership/repurposing of land post 99 years, considering the radioactivity risks? Can the peripheral part of the land, outside main reactor be repurposed and reused after decommissioning at the end of plant life?
At what time, plant will be decommissioned?",RFP terms & conditions shall prevail.
663,24,M/s Tata Power Compnay Limited,"1. Copy of draft of Agreement for Pre-Project activities (Agreement-1), Construction Phase work (Agreement-2) and for O&M Phase (Agreement-3) shall be shared. Division of Responsibility and accountability of each party for schedule & cost overruns shall part of Agreements.
2. Expected expenditure to be incurred by NPCIL including manpower expenditure for pre-project activities and construction phase work shall be given by NPCIL
3. NPCIL to confirm that to expedite the manufacturing, construction & installation, NPCILs approved third party inspection agencies can be deployed. If required NPCIL shall accord approval for additional third party inspection agencies meeting NPCIL qualification requirements.
4. O&M agreement & Tripartite agreement shall cover provision for compensation to User in case of lack of ability to supply power due to:
(a) Fuel Supply Chain issues and price fluctuations (under DAE purview) and
(b) Operational issues  - under NPCIL Purview
5. NPCIL to confirm if auxiliary power consumption indicated includes power consumption of township and other facilities being constructed for BSRs.","1- Commercial
2 - Commercial
3 - QA coverage will be as defined in RFP. 4- Commercial
5 - Auxiliary power consumption indicated in RFP is only for Plant Auxiliary loads."
664,25,M/s Tata Power Compnay Limited,"NPCIL to confirm that detail design, engineering, BOQ, Specification, drawings, approved vendor list & vendor qualification requirement of complete BSR System including  township design norms & training establishment, security establishment etc. shall be provided. NPCIL to also confirm that approval shall be accorded for additional vendors meeting NPCIL qualification requirement.","Required information will be provided to qualified USERs at appropriate time.
User can recommend new vendors for qualification by NPCIL."
665,26,M/s Tata Power Compnay Limited,"Since Fuel and Heavy water shall be property of DAE, DAE shall construct AFRF. DAE may construct AFRF common for multiple users. Terms and conditions for use of AFR being constructed by DAE shall be similar to 220 MW NPCILs' PHWRs and same shall be
shared upfront.","Regarding AFR facility, conditions provided in RFP will be applicable."
666,27,M/s Tata Power Compnay Limited,"Considering 6% annual escalation, O&M cost for 2030-31 works out to be very high.
User request NPCIL to re-visit O&M expenditure indicated in Annexure-2 as it is very high and indicate optimised O&M cost applicable in 2030-2031 and annual escalation applicable beyond 2030-2031. Non-critical O&M activities can be performed by User under NPCIL supervision for optimising O&M cost.
NPCIL to also indicate insurance charges applicable.",O&M cost indicated in RFP is the actual cost for similar operating plants.
667,28,M/s Tata Power Compnay Limited,"The RFP mentions the provisioning for NPCIL exit (via, Exit Clause) with DAE presuming the responsibilities. However, we propose that this exit of NPCIL shall be post consent of the USER, & subject to execution of the agreement with DAE taking over the obligations of NPCIL. Also, any disruption leading to operational/ financial loss to USER should be compensated by NPCIL without delay.",RFP terms & conditions shall prevail.
668,29,M/s Tata Power Compnay Limited,We understand that we will identify site considering exclusion zone of 0.5 km. NPCIL to confirm.,"Current requirement of EZ as per AERB siting code (AERB/NF/SC/S Rev1) is 1 km.
A proposal for reduction of EZ to 0.5 km have been submitted and is
under review in AERB."
669,30,M/s Tata Power Compnay Limited,"User request NPCIL & AERB to revisit SDVs considering enhanced safety features in
BSRs and new norms applicable globally.",Requirements of AERB siting codes/guides will be applicable.
670,31,M/s Tata Power Compnay Limited,"NPCIL to indicate expected shutdown period for these activities.
Further NPCIL shall check and confirm that plant life to be considered for tariff calculation as 40 years will be excluding the shutdown required for En-masse Coolant Channel Replacement and En-masse Feeder Replacement i.e. useful life of reactor for tariff calculation shall be 40 years + shutdown for Enmass coolant channel and feeder replacement.",Expected shutdown periods for EMCCR & EMFR is indicated in RFP.
671,32,M/s Tata Power Compnay Limited,"Since EMCCR / EMFR will be after 20-25 Years, we understand that fuel loading will be done between 20-25 years and fuel recovery charges shall be calculated accordingly.",RFP terms & conditions shall prevail.
672,33,M/s Tata Power Compnay Limited,"NPCIL shall re-visit PLF. With Plant load factor of 72.5%, tariff will be very high and project will not be viable. User Request NPCIL to consider plant load factor of 90%.",The plant is expected to operate at Normative Plant Load Factor (“PLF”) of 68.5%. The normative PLF is under consideration for revision to 72.5%. However the actual availability is expected to be higher as per historical trend of similar operating NPPs. Actual Plant availability depends upon mutiple factors.
